DATE,ANALYST,TIME SENT,EVENT DAY,EVENT START,LOCATION,SPORT,EVENT TYPE,EVENT,RACE,NO.,SELECTION,UNITS INVESTED,MARKET ADVICE,BET TYPE,MARKET LINE / TOTAL,RECOMMENDED PRICE,RECORDING METHOD,ODDS ,RESULT,UNITS COLLECTED,P/L,CUMULATIVE P/L,CUMULATIVE UNITS INVESTED,POT%,ROI%,PROFIT ($100 UNIT),BET WIN LOSE,PRICE,COMMISION,EMAIL ODDS,AVAILABLE ODDS,BEST FIXED EMAIL SENT,BEST FIXED CLOSING,BETFAIR SP,BOB/BTSP,BEST TOTE,AGENCY,EMAIL BEST LINE / TOTAL,EMAIL BEST ODDS,RESULT,CLOSING LINE,CLOSING PINNACLE,CLOSING BETFAIR,RESULT,EMAIL,GOAT,BFSP,TF,SP,EMAIL,Mid Tote,GOAT,BFSP
29-05-17,Luke Murrell,,Mon,,Australia,Horse Racing,,Grafton,,,Locus,1.5,,Win,,,,1.7,L,0,-1.5,340.8,4164,8.20%,340.80%,"$34,080.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
29-05-17,Luke Murrell,,Mon,,Australia,Horse Racing,,Grafton,,,Multi (place),1.5,,Win,,,,0,L,0,-1.5,339.3,4165.5,8.10%,339.30%,"$33,930.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
30-05-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Hawkesbury,,,Valcuause Bay,2.5,,Win,,,,2.8,L,0,-2.5,336.8,4168,8.10%,336.80%,"$33,680.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
30-05-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Hawkesbury,,,Wildflower,0.8,,Win,,,,4.2,W,3.15,2.4,339.2,4168.7,8.10%,339.20%,"$33,920.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
31-05-17,Luke Murrell,,Wed,,Australia,Horse Racing,,Warwick Farm,,,Irish Success,0.5,,Place,,,,7,W,3.5,3,342.2,4169.2,8.20%,342.20%,"$34,220.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-17,Luke Murrell,,Thu,,Australia,Horse Racing,,Gosford,,,Kennedy,1,,Win,,,,3.6,L,0,-1,341.2,4170.2,8.20%,341.20%,"$34,120.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-17,Luke Murrell,,Thu,,Australia,Horse Racing,,Gosford,,,Multi (place),2,,Win,,,,2.1,W,4.2,2.2,343.4,4172.2,8.20%,343.40%,"$34,340.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-17,Luke Murrell,,Thu,,Australia,Horse Racing,,Gosford,,,Thai Boxing,0.5,,Win,,,,3.6,L,0,-0.5,342.9,4172.7,8.20%,342.90%,"$34,290.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
02-06-17,Luke Murrell,,Fri,,Australia,Horse Racing,,Taree,,,Drummed Out,0.5,,Win,,,,6.4,W,3.2,2.7,345.6,4173.2,8.30%,345.60%,"$34,560.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
02-06-17,Luke Murrell,,Fri,,Australia,Horse Racing,,Taree,,,Great Gats,0.5,,Win,,,,20,L,0,-0.5,345.1,4173.7,8.30%,345.10%,"$34,510.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
02-06-17,Luke Murrell,,Fri,,Australia,Horse Racing,,Taree,,,Great Gats,0.5,,Place,,,,6,L,0,-0.5,344.6,4174.2,8.30%,344.60%,"$34,460.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
02-06-17,Luke Murrell,,Fri,,Australia,Horse Racing,,Taree,,,Mr Bonjove,0.5,,Win,,,,9,L,0,-0.5,344.1,4174.7,8.20%,344.10%,"$34,410.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
02-06-17,Luke Murrell,,Fri,,Australia,Horse Racing,,Taree,,,Mr Tobroance,0.5,,Win,,,,8,L,0,-0.5,343.6,4175.2,8.20%,343.60%,"$34,360.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
02-06-17,Luke Murrell,,Fri,,Australia,Horse Racing,,Taree,,,Not Suprising,0.5,,Win,,,,3.6,W,1.8,1.3,344.9,4175.7,8.30%,344.90%,"$34,490.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
02-06-17,Luke Murrell,,Fri,,Australia,Horse Racing,,Taree,,,Superlight,0.5,,Win,,,,6,L,0,-0.5,344.4,4176.2,8.20%,344.40%,"$34,440.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
02-06-17,Luke Murrell,,Fri,,Australia,Horse Racing,,Taree,,,Titus,0.5,,Place,,,,4,L,0,-0.5,343.9,4176.7,8.20%,343.90%,"$34,390.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Dothraki,1,,Win,,,,7,L,0,-1,342.9,4177.7,8.20%,342.90%,"$34,290.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Dothraki,2,,Place,,,,2.5,W,5,3,345.9,4179.7,8.30%,345.90%,"$34,590.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Single Gaze,1,,Win,,,,3,W,3,2,347.9,4180.7,8.30%,347.90%,"$34,790.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Kembla Grange,,,Dream I Can,1,,Win,,,,2.5,L,0,-1,346.9,4181.7,8.30%,346.90%,"$34,690.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Kembla Grange,,,Multi (place),1.5,,Win,,,,5,L,0,-1.5,345.4,4183.2,8.30%,345.40%,"$34,540.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Kembla Grange,,,Power Law,1.5,,Win,,,,3,L,0,-1.5,343.9,4184.7,8.20%,343.90%,"$34,390.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Kembla Grange,,,Simple Impressive,1,,Win,,,,0,L,0,-1,342.9,4185.7,8.20%,342.90%,"$34,290.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Kembla Grange,,,Vanzetta,0.5,,Win,,,,9,L,0,-0.5,342.4,4186.2,8.20%,342.40%,"$34,240.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Dagny,1.5,,Win,,,,3,L,0,-1.5,340.9,4187.7,8.10%,340.90%,"$34,090.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Dissulute,0.5,,Win,,,,12,L,0,-0.5,340.4,4188.2,8.10%,340.40%,"$34,040.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Dissulute,1.5,,Place,,,,3,W,4.5,3,343.4,4189.7,8.20%,343.40%,"$34,340.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Giants Daughter,0.5,,Win,,,,21,L,0,-0.5,342.9,4190.2,8.20%,342.90%,"$34,290.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Giants Daughter,1.5,,Place,,,,4,L,0,-1.5,341.4,4191.7,8.10%,341.40%,"$34,140.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Just Dreaming,1,,Win,,,,6,W,6,5,346.4,4192.7,8.30%,346.40%,"$34,640.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,New Universe,2,,Win,,,,2.8,L,0,-2,344.4,4194.7,8.20%,344.40%,"$34,440.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Ready For Success,0.5,,Win,,,,0,L,0,-0.5,343.9,4195.2,8.20%,343.90%,"$34,390.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Walk The Streets,1,,Win,,,,9,L,0,-1,342.9,4196.2,8.20%,342.90%,"$34,290.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
06-06-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Tamworth,,,Atlantic Edge,1.5,,Win,,,,2.8,L,0,-1.5,341.4,4197.7,8.10%,341.40%,"$34,140.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
06-06-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Tamworth,,,Fickly Folly,1,,Win,,,,1.85,L,0,-1,340.4,4198.7,8.10%,340.40%,"$34,040.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
06-06-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Tamworth,,,Kemp,0.5,,Win,,,,10,L,0,-0.5,339.9,4199.2,8.10%,339.90%,"$33,990.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
06-06-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Tamworth,,,Kemp,1,,Place,,,,3,L,0,-1,338.9,4200.2,8.10%,338.90%,"$33,890.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
06-06-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Tamworth,,,Moment To Test,0.5,,Place,,,,4.5,L,0,-0.5,338.4,4200.7,8.10%,338.40%,"$33,840.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
07-06-17,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Passage Of Time,2,,Win,,,,4.6,W,9.2,7.2,345.6,4202.7,8.20%,345.60%,"$34,560.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
07-06-17,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Queen Of Wands,2,,Win,,,,4,L,0,-2,343.6,4204.7,8.20%,343.60%,"$34,360.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
07-06-17,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,The Cheetah,1,,Win,,,,6,L,0,-1,342.6,4205.7,8.10%,342.60%,"$34,260.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
07-06-17,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Word Games,1,,Win,,,,6,W,6,5,347.6,4206.7,8.30%,347.60%,"$34,760.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
10-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Multi (place),1.5,,Win,,,,3,W,4.5,3,350.6,4208.2,8.30%,350.60%,"$35,060.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
10-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Mystic Opal,0.5,,Win,,,,11,L,0,-0.5,350.1,4208.7,8.30%,350.10%,"$35,010.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
10-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Religigy,1.5,,Win,,,,4.2,W,6.3,4.8,354.9,4210.2,8.40%,354.90%,"$35,490.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
10-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Sony Legend,0.5,,Win,,,,16,L,0,-0.5,354.4,4210.7,8.40%,354.40%,"$35,440.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
10-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Sony Legend,0.5,,Place,,,,4,L,0,-0.5,353.9,4211.2,8.40%,353.90%,"$35,390.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
10-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Top Of My List,1,,Win,,,,7,L,0,-1,352.9,4212.2,8.40%,352.90%,"$35,290.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
10-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Top Of My List,1,,Place,,,,2.2,L,0,-1,351.9,4213.2,8.40%,351.90%,"$35,190.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
10-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Flemington,,,Goatland,1.5,,Win,,,,1.9,L,0,-1.5,350.4,4214.7,8.30%,350.40%,"$35,040.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
10-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Morphettville,,,Chamois Road,1,,Win,,,,2.5,L,0,-1,349.4,4215.7,8.30%,349.40%,"$34,940.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
10-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Morphettville,,,Its Invinble,0.5,,Win,,,,2.4,W,1.2,0.7,350.1,4216.2,8.30%,350.10%,"$35,010.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
10-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,Dagny,0.5,,Win,,,,5,L,0,-0.5,349.6,4216.7,8.30%,349.60%,"$34,960.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
10-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,In Times Of War,1,,Win,,,,5,L,0,-1,348.6,4217.7,8.30%,348.60%,"$34,860.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
10-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,Memes,0.5,,Win,,,,6,W,3,2.5,351.1,4218.2,8.30%,351.10%,"$35,110.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
10-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,Nictok,0.5,,Win,,,,4.4,L,0,-0.5,350.6,4218.7,8.30%,350.60%,"$35,060.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
12-06-17,Luke Murrell,,Mon,,Australia,Horse Racing,,Warwick Farm,,,Helipsohere,1.5,,Win,,,,2.1,W,3.15,1.65,352.2,4220.2,8.30%,352.20%,"$35,225.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
12-06-17,Luke Murrell,,Mon,,Australia,Horse Racing,,Warwick Farm,,,Lady Sansa,1,,Win,,,,3.6,L,0,-1,351.2,4221.2,8.30%,351.20%,"$35,125.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
12-06-17,Luke Murrell,,Mon,,Australia,Horse Racing,,Warwick Farm,,,Multi (place),1.5,,Win,,,,2,L,0,-1.5,349.7,4222.7,8.30%,349.70%,"$34,975.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
13-06-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Cessnock,,,Biscuit Time,1,,Win,,,,2.8,W,2.8,1.8,351.5,4223.7,8.30%,351.50%,"$35,155.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
13-06-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Cessnock,,,Kennywyn,0.5,,Win,,,,3,L,0,-0.5,351,4224.2,8.30%,351.00%,"$35,105.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
13-06-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Cessnock,,,No Effort Needed,0.5,,Win,,,,2.4,L,0,-0.5,350.5,4224.7,8.30%,350.50%,"$35,055.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
13-06-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Cessnock,,,What A Sister,1.5,,Win,,,,2.4,W,3.6,2.1,352.6,4226.2,8.30%,352.60%,"$35,265.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
13-06-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Cessnock,,,Yarrapower,1,,Win,,,,2.5,W,2.5,1.5,354.1,4227.2,8.40%,354.10%,"$35,415.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
17-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Ipswich,,,Sundance,1.5,,Win,,,,3,L,0,-1.5,352.6,4228.7,8.30%,352.60%,"$35,265.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
17-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Ipswich,,,Titraloni,0.5,,Win,,,,5,L,0,-0.5,352.1,4229.2,8.30%,352.10%,"$35,215.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
17-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Morphettville,,,Battle Breweing,1.5,,Win,,,,3,L,0,-1.5,350.6,4230.7,8.30%,350.60%,"$35,065.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
17-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Morphettville,,,Clommel,0.5,,Win,,,,11,L,0,-0.5,350.1,4231.2,8.30%,350.10%,"$35,015.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
17-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,Labrooke,0.5,,Win,,,,10,L,0,-0.5,349.6,4231.7,8.30%,349.60%,"$34,965.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
17-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,Nachre Libre,2.5,,Win,,,,5,L,0,-2.5,347.1,4234.2,8.20%,347.10%,"$34,715.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
17-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,Power Command,0.5,,Win,,,,11,L,0,-0.5,346.6,4234.7,8.20%,346.60%,"$34,665.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
17-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,Serious Hoffa,0.5,,Win,,,,30,L,0,-0.5,346.1,4235.2,8.20%,346.10%,"$34,615.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
17-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Fickle Folly,1.5,,Win,,,,9,L,0,-1.5,344.6,4236.7,8.10%,344.60%,"$34,465.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
17-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Magic Albi,0.5,,Win,,,,13,L,0,-0.5,344.1,4237.2,8.10%,344.10%,"$34,415.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
17-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Mighty Lucky,0.5,,Win,,,,16,L,0,-0.5,343.6,4237.7,8.10%,343.60%,"$34,365.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
17-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Mighty Lucky,0.5,,Place,,,,4,L,0,-0.5,343.1,4238.2,8.10%,343.10%,"$34,315.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
17-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Samabout,1,,Place,,,,3,L,0,-1,342.1,4239.2,8.10%,342.10%,"$34,215.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
17-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Sir Plush,0.5,,Win,,,,6,W,3,2.5,344.6,4239.7,8.10%,344.60%,"$34,465.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
17-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Upscale,1.5,,Win,,,,3.8,L,0,-1.5,343.1,4241.2,8.10%,343.10%,"$34,315.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-17,Luke Murrell,,Sun,,Australia,Horse Racing,,Muswellbrook,,,Assurity,0.5,,Win,,,,13,W,6.5,6,349.1,4241.7,8.20%,349.10%,"$34,915.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-17,Luke Murrell,,Sun,,Australia,Horse Racing,,Muswellbrook,,,Fancy Knickers,1,,Win,,,,7.5,L,0,-1,348.1,4242.7,8.20%,348.10%,"$34,815.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-17,Luke Murrell,,Sun,,Australia,Horse Racing,,Muswellbrook,,,Fancy Knickers,1,,Place,,,,2.5,W,2.5,1.5,349.6,4243.7,8.20%,349.60%,"$34,965.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-17,Luke Murrell,,Sun,,Australia,Horse Racing,,Muswellbrook,,,Sadhika,0.5,,Win,,,,6,L,0,-0.5,349.1,4244.2,8.20%,349.10%,"$34,915.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-17,Luke Murrell,,Sun,,Australia,Horse Racing,,Port Macquarie,,,Atlantic Edge,0.5,,Win,,,,3.8,L,0,-0.5,348.6,4244.7,8.20%,348.60%,"$34,865.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-17,Luke Murrell,,Sun,,Australia,Horse Racing,,Port Macquarie,,,Danubian,1,,Win,,,,2.6,L,0,-1,347.6,4245.7,8.20%,347.60%,"$34,765.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-17,Luke Murrell,,Sun,,Australia,Horse Racing,,Port Macquarie,,,Great Gats,1,,Win,,,,5.5,L,0,-1,346.6,4246.7,8.20%,346.60%,"$34,665.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
21-06-17,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Emperiors Way,0.5,,Win,,,,13,L,0,-0.5,346.1,4247.2,8.20%,346.10%,"$34,615.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
21-06-17,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Emperiors Way,0.5,,Place,,,,3,L,0,-0.5,345.6,4247.7,8.10%,345.60%,"$34,565.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
21-06-17,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Norie,1.5,,Win,,,,3,W,4.5,3,348.6,4249.2,8.20%,348.60%,"$34,865.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
21-06-17,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Pandiei,0.5,,Win,,,,0,L,0,-0.5,348.1,4249.7,8.20%,348.10%,"$34,815.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
21-06-17,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Silent Sea,0.5,,Win,,,,0,L,0,-0.5,347.6,4250.2,8.20%,347.60%,"$34,765.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
22-06-17,Luke Murrell,,Thu,,Australia,Horse Racing,,Newcastle,,,Chalmers,0.5,,Win,,,,2.6,L,0,-0.5,347.1,4250.7,8.20%,347.10%,"$34,715.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
24-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Danish Twist,0.5,,Win,,,,20,L,0,-0.5,346.6,4251.2,8.20%,346.60%,"$34,665.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
24-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Danish Twist,0.5,,Place,,,,5,L,0,-0.5,346.1,4251.7,8.10%,346.10%,"$34,615.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
24-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Deploy,1.5,,Win,,,,3,L,0,-1.5,344.6,4253.2,8.10%,344.60%,"$34,465.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
24-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Hopegarten,0.5,,Win,,,,9,L,0,-0.5,344.1,4253.7,8.10%,344.10%,"$34,415.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
24-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Man Of His Word,1.5,,Win,,,,4,L,0,-1.5,342.6,4255.2,8.10%,342.60%,"$34,265.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
24-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Upstart Pride,0.5,,Win,,,,11,L,0,-0.5,342.1,4255.7,8.00%,342.10%,"$34,215.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
24-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,Old North,0.5,,Win,,,,6,L,0,-0.5,341.6,4256.2,8.00%,341.60%,"$34,165.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
24-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,Richard Of Yorke,2,,Win,,,,4.5,L,0,-2,339.6,4258.2,8.00%,339.60%,"$33,965.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
24-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,Sound Propostion,0.5,,Win,,,,8.22,W,4.11,3.61,343.3,4258.7,8.10%,343.30%,"$34,326.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
24-06-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,Sultan Of Swing,1,,Win,,,,5.5,L,0,-1,342.3,4259.7,8.00%,342.30%,"$34,226.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
26-06-17,Luke Murrell,,Mon,,Australia,Horse Racing,,Quirindi,,,Avalance Warning,1.5,,Win,,,,5,L,0,-1.5,340.8,4261.2,8.00%,340.80%,"$34,076.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
26-06-17,Luke Murrell,,Mon,,Australia,Horse Racing,,Quirindi,,,Smooth Talker,2,,Win,,,,2.8,L,0,-2,338.8,4263.2,7.90%,338.80%,"$33,876.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
26-06-17,Luke Murrell,,Mon,,Australia,Horse Racing,,Quirindi,,,Surely Not,1,,Win,,,,5.2,W,5.2,4.2,343,4264.2,8.00%,343.00%,"$34,296.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
26-06-17,Luke Murrell,,Mon,,Australia,Horse Racing,,Quirindi,,,Torjan Grey,1,,Win,,,,9.8,W,9.8,8.8,351.8,4265.2,8.20%,351.80%,"$35,176.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
27-06-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Newcastle,,,Beanelo,1,,Win,,,,8.5,W,8.5,7.5,359.3,4266.2,8.40%,359.30%,"$35,926.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
27-06-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Newcastle,,,Filomenas Grace,0.5,,Win,,,,7,L,0,-0.5,358.8,4266.7,8.40%,358.80%,"$35,876.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
