DATE,ANALYST,TIME SENT,EVENT DAY,EVENT START,LOCATION,SPORT,EVENT TYPE,EVENT,RACE,NO.,SELECTION,UNITS INVESTED,MARKET ADVICE,BET TYPE,MARKET LINE / TOTAL,RECOMMENDED PRICE,RECORDING METHOD,ODDS ,RESULT,UNITS COLLECTED,P/L,CUMULATIVE P/L,CUMULATIVE UNITS INVESTED,POT%,ROI%,PROFIT ($100 UNIT),BET WIN LOSE,PRICE,COMMISION,EMAIL ODDS,AVAILABLE ODDS,BEST FIXED EMAIL SENT,BEST FIXED CLOSING,BETFAIR SP,BOB/BTSP,BEST TOTE,AGENCY,EMAIL BEST LINE / TOTAL,EMAIL BEST ODDS,RESULT,CLOSING LINE,CLOSING PINNACLE,CLOSING BETFAIR,RESULT,EMAIL,GOAT,BFSP,TF,SP,EMAIL,Mid Tote,GOAT,BFSP
02-07-17,Luke Murrell,,Sun,,Australia,Horse Racing,,Mudgee,,,Anndale Lass,1.5,,Win,,,,3,L,0,-1.5,344.7,4288.5,8.00%,344.70%,"$34,471.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
02-07-17,Luke Murrell,,Sun,,Australia,Horse Racing,,Mudgee,,,Eastern Paradice,2.5,,Win,,,,5,L,0,-2.5,342.2,4291,8.00%,342.20%,"$34,221.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
02-07-17,Luke Murrell,,Sun,,Australia,Horse Racing,,Mudgee,,,Happerzozo,1.5,,Win,,,,4.5,L,0,-1.5,340.7,4292.5,7.90%,340.70%,"$34,071.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
02-07-17,Luke Murrell,,Sun,,Australia,Horse Racing,,Mudgee,,,Majaska,0.5,,Win,,,,7,L,0,-0.5,340.2,4293,7.90%,340.20%,"$34,021.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
04-07-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Muswellbrook,,,Cosmic Reign,1,,Win,,,,7,W,7,6,346.2,4294,8.10%,346.20%,"$34,621.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
04-07-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Muswellbrook,,,Homiley,1.5,,Win,,,,2,L,0,-1.5,344.7,4295.5,8.00%,344.70%,"$34,471.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
04-07-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Muswellbrook,,,Jacknife,0.5,,Win,,,,9,L,0,-0.5,344.2,4296,8.00%,344.20%,"$34,421.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
04-07-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Muswellbrook,,,Miss Santorari,0.3,,Win,,,,61,L,0,-0.25,344,4296.2,8.00%,344.00%,"$34,396.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
04-07-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Muswellbrook,,,Miss Santorari,0.5,,Place,,,,10,L,0,-0.5,343.5,4296.7,8.00%,343.50%,"$34,346.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-17,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Life Of Obrien,0.5,,Win,,,,9.6,W,4.8,4.3,347.8,4297.2,8.10%,347.80%,"$34,776.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
