DATE,ANALYST,TIME SENT,EVENT DAY,EVENT START,LOCATION,SPORT,EVENT TYPE,EVENT,RACE,NO.,SELECTION,UNITS INVESTED,MARKET ADVICE,MARKET TYPE,MARKET LINE / TOTAL,BET          LINE / TOTAL,AGENCY,W.E.I. ODDS,RESULT,UNITS COLLECTED,P/L,CUMULATIVE P/L,CUMULATIVE UNITS INVESTED,POT%,ROI%,PROFIT ($100 UNIT),BET WIN LOSE,PRICE,COMMISION,EMAIL ODDS,AVAILABLE ODDS,BEST FIXED EMAIL SENT,BEST FIXED CLOSING,BETFAIR SP,BOB/BTSP,BEST TOTE,AGENCY,EMAIL BEST LINE / TOTAL,EMAIL BEST ODDS,RESULT,CLOSING LINE,CLOSING PINNACLE,CLOSING BETFAIR,RESULT,EMAIL,GOAT,BFSP,TF,SP,EMAIL,Mid Tote,GOAT,BFSP,MID TOTE,HIGHEST FIXED CLOSING PRICE,SB OPENING PRICE,BFSP Converted P&L Less Commission,BFSP Price Less Commission,Fixed,Fixed Converted P&L Less Stake,BOB
18/08/2019,John's Analytics,,Sun,1535,Australia,Horse Racing,,COLERAINE,5,8,SIR CHATALOT,0.25,,Win,,,LAD,21,3,0,-0.25,299.3,2504.3,12.00%,299.30%,29932.9,F,,,21,23,21,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/08/2019,John's Analytics,,Sun,1535,Australia,Horse Racing,,COLERAINE,5,8,SIR CHATALOT,0.5,,Place,,,SB,3.9,3,1.95,1.45,300.8,2504.8,12.00%,300.80%,30077.9,W,,,3.9,4,3.9,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/08/2019,John's Analytics,,Sun,1640,Australia,Horse Racing,,MORUYA,7,12,SARZANA,0.35,,Win,,,EASY,17,3,0,-0.35,300.4,2505.2,12.00%,300.40%,30042.9,F,,,17,20,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/08/2019,John's Analytics,,Sun,1640,Australia,Horse Racing,,MORUYA,7,12,SARZANA,0.7,,Place,,,LAD,4.8,3,3.36,2.66,303.1,2505.9,12.10%,303.10%,30308.9,W,,,4.8,5.5,4.8,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/08/2019,John's Analytics,,Mon,1645,Australia,Horse Racing,,GRAFTON,7,14,ILIA,0.5,,Win,,,TOP,12,2,0,-0.5,302.6,2506.4,12.10%,302.60%,30258.9,F,,,12,13,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/08/2019,John's Analytics,,Mon,1645,Australia,Horse Racing,,GRAFTON,7,14,ILIA,1,,Place,,,TOP,3.8,2,3.8,2.8,305.4,2507.4,12.20%,305.40%,30538.9,W,,,3.8,4.33,3.8,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/2019,John's Analytics,,Tue,1520,Australia,Horse Racing,,ALBURY,5,7,SMART AS,0.5,,Win,,,TOP,7,0,0,-0.5,304.9,2507.9,12.20%,304.90%,30488.9,F,,,7,8.5,7,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/2019,John's Analytics,,Tue,1520,Australia,Horse Racing,,ALBURY,5,7,SMART AS,1,,Place,,,EASY,3,0,0,-1,303.9,2508.9,12.10%,303.90%,30388.9,F,,,3,3.25,3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/2019,John's Analytics,,Tue,1635,Australia,Horse Racing,,ALBURY,7,10,GHOST DOCTOR,0.5,,Win,,,LAD,6.55,1,3.27,2.77,306.7,2509.4,12.20%,306.70%,30666.1,W,,,6.55,7.32,6.55,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/2019,John's Analytics,,Tue,1635,Australia,Horse Racing,,ALBURY,7,10,GHOST DOCTOR,1,,Place,,,SB,2.18,1,2.18,1.18,307.8,2510.4,12.30%,307.80%,30784.5,W,,,2.18,2.6,2.18,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/2019,John's Analytics,,Wed,1410,Australia,Horse Racing,,SANDOWN,3,10,CRASH CRANACH,0.3,,Win,,,EASY,20,0,0,-0.3,307.5,2510.7,12.20%,307.50%,30754.5,F,,,20,21,20,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/2019,John's Analytics,,Wed,1410,Australia,Horse Racing,,SANDOWN,3,10,CRASH CRANACH,0.6,,Place,,,LAD,4,0,0,-0.6,306.9,2511.3,12.20%,306.90%,30694.5,F,,,4,4.4,4,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/08/2019,John's Analytics,,Thu,1610,Australia,Horse Racing,,BEAUDESERT,6,11,PRODUCE ME LATE,0.25,,Win,,,LAD,21,0,0,-0.25,306.7,2511.5,12.20%,306.70%,30669.5,F,,,21,26,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/08/2019,John's Analytics,,Thu,1610,Australia,Horse Racing,,BEAUDESERT,6,11,PRODUCE ME LATE,0.5,,Place,,,TOP,4,0,0,-0.5,306.2,2512,12.20%,306.20%,30619.5,F,,,4,7,4,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/08/2019,John's Analytics,,Thu,1700,Australia,Horse Racing,,MOE,8,13,TESTA LIFE,0.4,,Win,,,LAD,15,0,0,-0.4,305.8,2512.4,12.20%,305.80%,30579.5,F,,,15,16,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/08/2019,John's Analytics,,Thu,1700,Australia,Horse Racing,,MOE,8,13,TESTA LIFE,0.8,,Place,,,TOP,4.4,0,0,-0.8,305,2513.2,12.10%,305.00%,30499.5,F,,,4.4,4.6,4.4,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/08/2019,John's Analytics,,Fri,1700,Australia,Horse Racing,,BENDIGO,8,8,GENEVA DIVA,1,,Win,,,TOP,4.6,0,0,-1,304,2514.2,12.10%,304.00%,30399.5,F,,,4.6,4.8,4.6,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
