DATE,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
17-Oct-20,16:50,RANDWICK,8,11 – VANNA GIRL,K.MCEVOY,X90,3RD,/$1.95
17-Oct-20,17:00,DOOMBEN,7,1 – GLENALL,J.BYRNE,660,,
17-Oct-20,17:10,NEWCASTLE,7,1 – YULONG KNIGHT,S.METCALF(A),175,3RD,/$2.60
17-Oct-20,17:15,CAULFIELD9,9,14 – DALASAAN,W.PIKE,354,,
17-Oct-20,17:23,GOLD COAST,7,10 – SEA RAIDER,S.GALLOWAY,8X1,,
17-Oct-20,17:33,BENDIGO,9,6 – CORONEL,J.LORENSINI,0X3,3RD,/$1.66
17-Oct-20,17:35,HOBART,7,6 GEE GEE PUREBLONDE,P.LUI(A),842,,
17-Oct-20,17:38,DOOMBEN,8,8 – COLPO DI TAMBURO,T.MARSHALL,X42,,
17-Oct-20,17:50,CAULFIELD,10,3 – PERFECT JEWEL,W.PIKE,826,,
,,,,,,,,
16-Oct-20,12:10,MOE,1,7 – VISCACHA (BEST BET),D.LANE,42,WINNER,$1.72 /$1.18
16-Oct-20,12:40,MOE,2,3 – COLOSSAL STAR,B.HIGGINS,3,3RD,/$1.59
16-Oct-20,14:10,TAREE,2,3 – PACE STICK,K.W-TAYLOR(A),142,WINNER,$2.14 /$1.26
16-Oct-20,14:31,GATTON,3,7 – GEM SETTER,M.SAVVA(A),662,2ND,/$3.00
16-Oct-20,14:35,MURRAY BRIDGE,3,6 – MR POCKET (BEST BET),T.PANNELL,X43,2ND,/$1.63
16-Oct-20,14:45,TAREE,3,1 – FROM THE HIP,J.PENZA,3X5,,
16-Oct-20,14:59,BATHURST,3,5 – BRASH SAMMY,K.JENNINGS,433,,
16-Oct-20,15:34,BATHURST,4,3 – AMICUS CURIAE,K.JENNINGS,1,WINNER,$3.85 /$1.36
16-Oct-20,15:41,GATTON,5,3 – SPIRIT ONE,T.MARSHALL,652,,
16-Oct-20,15:45,MURRAY BRIDGE,5,14 - WHO RUNS THE WORLD,B.VORSTER,922,,
16-Oct-20,16:09,BATHURST,5,6 – HONEYSUCKLE CHOICE,B.OWEN(A),0X2,,
16-Oct-20,16:16,GATTON,6,3 – FURY OF THE STORM,H.RICHARD,322,2ND,/$1.50
16-Oct-20,16:30,TAREE,6,3 – ASUDEM,J.PENZA,X63,2ND,/$1.45
16-Oct-20,16:55,MURRAY BRIDGE,7,13 – AQUEDUCT,J.EATON(A),111,2ND,/$1.50
16-Oct-20,17:19,BATHURST,7,2 – KYPREOS,K.JENNINGS,7X1,LATE,SCRATCHING
16-Oct-20,17:26,GATTON,8,4 – FIVE OXFORD,L.TILLEY,3X2,WINNER,$2.10 /$1.16
16-Oct-20,17:30,MURRAY BRIDGE,8,18 – VINDEX,M.COLLETT(A),213,3RD,/$1.45
16-Oct-20,17:55,BATHURST,8,10 – AUTUMN FALLS,K.O'HARA,521,,
,,,,,,,,
15-Oct-20,13:10,WARRNAMBOOL,1,8 – TANGO GOLD (BEST BET),C.DOUGLAS,323,3RD,/$1.12
15-Oct-20,13:25,KEMBLA GRANGE,1,3 – UPSCALE,K.JENNINGS,X83,,
15-Oct-20,13:50,WARRNAMBOOL,2,1 – JUKILA,T.SADLER,125,3RD,/$1.08
15-Oct-20,14:05,KEMBLA GRANGE,2,9 – SUPER ONE SUSIE,J.COLLETT,5X3,2ND,/$1.45
15-Oct-20,14:20,MACKAY,2,6 - BETTER THAN SILVER,M.POTGEITER(A),X12,,
15-Oct-20,14:30,WARRNAMBOOL,3,9 – TRALEE ROSE,F.W.KERSLEY,24X,WINNER,$1.90 /$1.10
15-Oct-20,14:40,KEMBLA GRANGE,3,2 – MISSION LEGEND (BEST BET),T.SCHILLER(A),2,WINNER,$1.65/ $1.25
15-Oct-20,14:55,MACKAY,3,11 – COMBATTANT DE RUE,K.SOUTHAM(A),733,,
15-Oct-20,15:00,WARRNAMBOOL,4,8 – KOSCINA,C.RAWILLER(A),973,LATE,SCRATCHING
15-Oct-20,15:35,MACKAY,4,2 – CINNAMON MISSILE,R.WIGGINS,435,,
15-Oct-20,15:50,KEMBLA GRANGE,5,2 – NYAMI,T.BERRY,2X1,WINNER,$1.70 /$1.18
15-Oct-20,16:00,WARRNAMBOOL,6,6 – SKELTON,J.HILL,152,3RD,/$1.80
15-Oct-20,16:10,MACKAY,5,2 – CHARLES SEVEN,R.WIGGINS,352,WINNER,$1.80 /$1.12
15-Oct-20,16:25,KEMBLA GRANGE,6,4 – MISS TWILIGHT,T.SCHILLER(A),143,2ND,/$1.83
15-Oct-20,16:30,WARRNAMBOOL,7,1 – KISSINGER,M.RODD,X72,WINNER,$1.65 /$1.17
15-Oct-20,16:34,NORTHAM,2,1 – CAN’T HELP MYSELF,L.RAMOLY(A),342,,
15-Oct-20,17:00,WARRNAMBOOL,8,11 – GLENFERRIE GIRL,D.HOLLAND,362,2ND,/$2.44
15-Oct-20,17:12,NORTHAM,3,1 – DARK CITY,P.CARBERY,X22,WINNER,$3.05 /$1.50
15-Oct-20,17:25,MACKAY,7,1 – HOLY FREEZE,,,LATE,SCRATCHING
15-Oct-20,17:47,NORTHAM,4,6 – RIDING HOOD FAME,L.STAPLES,X83,2ND,/$3.20
15-Oct-20,18:00,MACKAY,8,1 – DRUMBEATS CHOICE,K.SOUTHAM(A),358,,
,,,,,,,,
,,,,,,,,
14-Oct-20,13:35,HAMILTON,2,6 – BETHPAGE,Z.SPAIN,3X4,2ND,/$1.42
14-Oct-20,13:45,PORT LINCOLN,2,9 – THE BIG GOODBYE,J.TOEROEK,3,2ND,/$1.74
14-Oct-20,13:50,WARWICK FARM,1,6 – EASIFAR,J.MCDONALD,2,3RD,/$1.17
14-Oct-20,14:00,CAULFIELD,2,3 – AL GALAYEL,B.MELHAM,111,,
14-Oct-20,14:04,IPSWICH,1,5 – OUR FRAULEIN (BEST BET),L.CASSIDY,4X2,WINNER,$2.26 /$1.22
14-Oct-20,14:10,HAMILTON,3,11 – CAPTAIN CANUCK,H.COFFET,X62,3RD,/$1.37
14-Oct-20,14:20,PORT LINCOLN,3,8 – TERELLI,T.VOORHAM(A),222,,
14-Oct-20,14:25,WARWICK FARM,2,6 – ETHERIDGE,R.KING,453,,
14-Oct-20,14:35,CAULFIELD,3,2 – GRAND PROMENADE,J.ALLEN,X84,,
14-Oct-20,14:45,HAMILTON,4,1 – LIKE THE CLAPPERS,C.RAWILLER(A),231,,
14-Oct-20,14:55,PORT LINCOLN,4,7 – KISHSTAR,D.CABOCHE(A),X41,,
14-Oct-20,15:00,WARWICK FARM,3,1 – MILITARY MAGIC,C.GRAHAM(A),0X3,,
14-Oct-20,15:45,CAULFIELD,5,12 – SUPER GIRL,J.CHILDS,509,3RD,/$3.40
